Iteration - 1
Node Name  Node ID  Page Rank
A            0      0.24930555555555556
B            1      0.11944444444444445
C            2      0.14305555555555555
D            3      0.13125
E            4      0.2138888888888889
F            5      0.14305555555555555
Iteration - 10
Node Name  Node ID  Page Rank
A            0      0.25203637602817186
B            1      0.13930650918251083
C            2      0.15129376593475075
D            3      0.11896297277689881
E            4      0.18710661014291716
F            5      0.15129376593475075
Iteration - 100
Node Name  Node ID  Page Rank
A            0      0.2521271053751956
B            1      0.1393061853185386
C            2      0.1513064898667053
D            3      0.11890782257353921
E            4      0.18704590699931614
F            5      0.1513064898667053
